Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1560718800.0 136.744 NA 80 380 0 NA NA NA 153 742 0 NA NA NA 518 11987 726 NA NA NA 630 4454 886 NA NA
1560718800.0 136.745 NA 81 336 0 NA NA NA 161 667 0 NA NA NA 493 8653 733 NA NA NA 1592 3816 895 NA NA
1560718800.0 136.746 NA 81 343 0 NA NA NA 158 669 0 NA NA NA 633 11340 734 NA NA NA 868 4406 840 NA NA
1560718800.0 136.747 NA 82 359 0 NA NA NA 155 706 0 NA NA NA 523 10662 736 NA NA NA 765 4138 834 NA NA
1560718800.0 136.748 NA 82 357 0 NA NA NA 154 721 0 NA NA NA 512 10974 739 NA NA NA 772 4445 909 NA NA
1560718800.0 136.749 NA 84 356 0 NA NA NA 154 750 0 NA NA NA 640 12076 731 NA NA NA 865 4590 867 NA NA
1560718800.0 136.752 NA 85 355 0 NA NA NA 163 684 0 NA NA NA 613 12019 745 NA NA NA 911 6338 945 NA NA
1560718800.0 136.753 NA 82 363 0 NA NA NA 153 694 0 NA NA NA 525 11715 722 NA NA NA 551 4734 1131 NA NA
1560718800.0 136.754 NA 87 379 0 NA NA NA 171 683 0 NA NA NA 533 9655 732 NA NA NA 2019 3928 861 NA NA
1560718800.0 136.755 NA 82 375 0 NA NA NA 166 818 0 NA NA NA 544 12891 741 NA NA NA 600 4875 943 NA NA
1560718800.0 136.756 NA 82 337 0 NA NA NA 159 716 0 NA NA NA 489 8158 728 NA NA NA 1359 3543 829 NA NA
1560718800.0 136.757 NA 81 353 0 NA NA NA 171 778 0 NA NA NA 611 10882 747 NA NA NA 719 4149 829 NA NA
1560718800.0 136.7611 NA 172 0 NA NA NA NA 290 0 NA NA NA NA 4937 132 NA NA NA NA 5859 386 NA NA NA
1560718800.0 136.762 NA 82 399 0 NA NA NA 158 847 0 NA NA NA 692 22635 895 NA NA NA 1313 8377 1433 NA NA
1560718800.0 136.763 NA 80 363 0 NA NA NA 158 681 0 NA NA NA 777 17988 897 NA NA NA 1246 6878 1089 NA NA
1560718800.0 136.764 NA 83 362 0 NA NA NA 151 729 0 NA NA NA 610 17153 836 NA NA NA 633 7046 987 NA NA
