Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1560636000.0 535.0 94 0 NA NA NA NA NA 183 0 NA NA NA NA NA 3493 166 NA NA NA NA NA 1987 476 NA NA NA NA NA
1560636000.0 541.0 48 0 NA NA NA NA NA 99 0 NA NA NA NA NA 220 164 NA NA NA NA NA 567 326 NA NA NA NA NA
1560636000.0 545.0 46 0 NA NA NA NA NA 97 0 NA NA NA NA NA 296 164 NA NA NA NA NA 578 326 NA NA NA NA NA
1560636000.0 551.0 19 42 0 NA NA NA NA 67 92 0 NA NA NA NA 1004 195 169 NA NA NA NA 6112 492 544 NA NA NA NA
1560636000.0 552.0 19 43 0 NA NA NA NA 64 93 0 NA NA NA NA 951 215 165 NA NA NA NA 1778 1084 510 NA NA NA NA
1560636000.0 554.0 21 44 0 NA NA NA NA 64 93 0 NA NA NA NA 1631 185 151 NA NA NA NA 2771 528 494 NA NA NA NA
1560636000.0 555.0 21 40 0 NA NA NA NA 64 93 0 NA NA NA NA 857 170 132 NA NA NA NA 2268 554 486 NA NA NA NA
1560636000.0 556.0 19 41 0 NA NA NA NA 68 93 0 NA NA NA NA 383 267 166 NA NA NA NA 1972 1110 355 NA NA NA NA
1560636000.0 560.0 42 0 NA NA NA NA NA 88 0 NA NA NA NA NA 230 167 NA NA NA NA NA 865 484 NA NA NA NA NA
1560636000.0 561.0 46 0 NA NA NA NA NA 89 0 NA NA NA NA NA 222 168 NA NA NA NA NA 507 657 NA NA NA NA NA
1560636000.0 562.0 19 37 0 NA NA NA NA 68 94 0 NA NA NA NA 413 230 166 NA NA NA NA 2497 1096 646 NA NA NA NA
1560636000.0 7.4 68 233 224 64 0 NA NA 122 670 343 123 0 NA NA 873 1586 694 314 619 NA NA 675 2790 917 616 802 NA NA
1560636000.0 8.0 NA 133 166 50 0 NA NA NA 589 249 95 0 NA NA NA 1696 865 168 312 NA NA NA 1001 1068 387 773 NA NA
