Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1560805200.0 134.813 NA 141 70 0 NA NA NA NA 219 101 0 NA NA NA NA 9912 929 1332 NA NA NA NA 10739 1117 1414 NA NA NA
1560805200.0 134.903 NA 34 279 0 NA NA NA NA 112 330 0 NA NA NA NA 1372 24917 2848 NA NA NA NA 1759 25111 2917 NA NA NA
1560805200.0 134.905 NA 35 281 0 NA NA NA NA 113 331 0 NA NA NA NA 1383 25077 2877 NA NA NA NA 1874 25334 2942 NA NA NA
1560805200.0 134.907 NA 121 303 0 NA NA NA NA 194 356 0 NA NA NA NA 5307 27855 3072 NA NA NA NA 6211 28124 3137 NA NA NA
1560805200.0 134.908 NA 127 309 0 NA NA NA NA 197 360 0 NA NA NA NA 5391 27653 2978 NA NA NA NA 6137 27919 3060 NA NA NA
1560805200.0 134.911 NA 40 280 0 NA NA NA NA 112 331 0 NA NA NA NA 1379 25851 2850 NA NA NA NA 1827 26102 2920 NA NA NA
1560805200.0 1340.0 NA 98 294 0 NA NA NA NA 176 352 0 NA NA NA NA 1900 7392 2679 NA NA NA NA 2994 7700 2751 NA NA NA
1560805200.0 1341.0 NA 101 311 0 NA NA NA NA 183 371 0 NA NA NA NA 2523 9813 2746 NA NA NA NA 3880 10053 2810 NA NA NA
1560805200.0 1343.0 NA 98 307 0 NA NA NA NA 176 358 0 NA NA NA NA 2111 7927 2719 NA NA NA NA 3397 8206 2814 NA NA NA
1560805200.0 1344.0 NA 97 305 0 NA NA NA NA 176 358 0 NA NA NA NA 2028 7678 2687 NA NA NA NA 3156 7926 2756 NA NA NA
1560805200.0 1345.0 NA 100 299 0 NA NA NA NA 177 358 0 NA NA NA NA 2100 8140 2745 NA NA NA NA 3059 8455 2833 NA NA NA
1560805200.0 1347.0 NA 98 295 0 NA NA NA NA 176 355 0 NA NA NA NA 2134 7740 2688 NA NA NA NA 2954 8011 2774 NA NA NA
1560805200.0 1348.0 NA 99 304 0 NA NA NA NA 175 354 0 NA NA NA NA 1921 7564 2734 NA NA NA NA 3210 7874 2819 NA NA NA
1560805200.0 1349.0 NA 102 299 0 NA NA NA NA 175 354 0 NA NA NA NA 2021 8065 2723 NA NA NA NA 3965 8998 2812 NA NA NA
1560805200.0 135.1 260 0 123 NA NA NA NA 307 0 163 NA NA NA NA 1546 351 805 NA NA NA NA 1611 366 859 NA NA NA NA
1560805200.0 135.11 250 0 117 NA NA NA NA 307 0 163 NA NA NA NA 6191 1153 3074 NA NA NA NA 6406 1229 3264 NA NA NA NA
1560805200.0 135.12 259 0 124 NA NA NA NA 307 0 163 NA NA NA NA 1445 349 796 NA NA NA NA 1508 369 854 NA NA NA NA
1560805200.0 135.13 251 0 NA NA NA NA NA 292 0 NA NA NA NA NA 1486 437 NA NA NA NA NA 1546 483 NA NA NA NA NA
1560805200.0 135.2 259 0 121 NA NA NA NA 306 0 162 NA NA NA NA 1267 329 766 NA NA NA NA 1359 345 839 NA NA NA NA
1560805200.0 135.3 259 0 120 NA NA NA NA 306 0 163 NA NA NA NA 1275 328 784 NA NA NA NA 1340 345 883 NA NA NA NA
1560805200.0 135.4 258 0 124 NA NA NA NA 307 0 163 NA NA NA NA 1376 341 798 NA NA NA NA 1656 361 905 NA NA NA NA
1560805200.0 135.5 255 0 124 NA NA NA NA 307 0 163 NA NA NA NA 1376 344 779 NA NA NA NA 1440 375 822 NA NA NA NA
1560805200.0 135.6 256 0 135 NA NA NA NA 307 0 163 NA NA NA NA 1631 359 849 NA NA NA NA 1701 382 910 NA NA NA NA
1560805200.0 135.7 260 0 123 NA NA NA NA 307 0 163 NA NA NA NA 1378 347 785 NA NA NA NA 1445 364 822 NA NA NA NA
1560805200.0 135.8 92 NA NA NA NA NA NA 134 NA NA NA NA NA NA 458 NA NA NA NA NA NA 560 NA NA NA NA NA NA
1560805200.0 135.9 259 0 122 NA NA NA NA 307 0 163 NA NA NA NA 1263 340 769 NA NA NA NA 1331 364 824 NA NA NA NA
1560805200.0 1350.0 NA 96 303 0 NA NA NA NA 175 354 0 NA NA NA NA 1986 7703 2740 NA NA NA NA 3203 7995 2839 NA NA NA
1560805200.0 1351.0 NA 99 300 0 NA NA NA NA 175 354 0 NA NA NA NA 1989 7651 2735 NA NA NA NA 3293 7942 2806 NA NA NA
1560805200.0 1352.0 NA 97 301 0 NA NA NA NA 176 354 0 NA NA NA NA 1937 7791 2711 NA NA NA NA 3622 8132 2819 NA NA NA
1560805200.0 1353.0 NA 103 299 0 NA NA NA NA 177 359 0 NA NA NA NA 2083 8052 2704 NA NA NA NA 3354 8321 2905 NA NA NA
1560805200.0 1354.0 NA 99 301 0 NA NA NA NA 178 359 0 NA NA NA NA 2048 8058 2680 NA NA NA NA 2896 8306 2754 NA NA NA
1560805200.0 1355.0 NA 101 300 0 NA NA NA NA 177 358 0 NA NA NA NA 2232 8127 2671 NA NA NA NA 3991 8492 2741 NA NA NA
1560805200.0 136.721 NA 66 285 0 NA NA NA NA 145 338 0 NA NA NA NA 2691 34118 3369 NA NA NA NA 3543 34346 3426 NA NA NA
1560805200.0 136.722 NA 69 325 0 NA NA NA NA 143 376 0 NA NA NA NA 2609 39946 3433 NA NA NA NA 3559 40243 3486 NA NA NA
1560805200.0 136.723 NA 66 286 0 NA NA NA NA 143 338 0 NA NA NA NA 3069 37670 3411 NA NA NA NA 4042 38127 3481 NA NA NA
1560805200.0 136.725 NA 67 353 0 NA NA NA NA 144 407 0 NA NA NA NA 2727 40055 3395 NA NA NA NA 4035 40321 3474 NA NA NA
