Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1560718800.0 148.0 58 118 322 0 NA NA 102 153 379 0 NA NA 2177 689 4050 2087 NA NA 2738 763 4413 2197 NA NA
1560718800.0 149.0 58 115 332 0 NA NA 104 153 384 0 NA NA 1597 868 4381 1782 NA NA 1678 1264 4779 1840 NA NA
1560718800.0 150.0 68 119 226 0 NA NA 117 161 277 0 NA NA 5414 659 1821 984 NA NA 6588 729 1960 1034 NA NA
1560718800.0 2.0 63 61 NA NA NA NA 120 103 NA NA NA NA 7220 506 NA NA NA NA 8265 1020 NA NA NA NA
1560718800.0 20034.1 NA 192 186 0 NA NA NA 272 228 0 NA NA NA 5356 2130 626 NA NA NA 5862 2272 676 NA NA
1560718800.0 20034.11 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 2476 NA NA NA NA NA 2859 NA NA NA NA
1560718800.0 2017.11 253 0 121 NA NA NA 313 0 164 NA NA NA 2508 496 1256 NA NA NA 2630 534 1347 NA NA NA
1560718800.0 20261.97 332 NA NA NA NA NA 416 NA NA NA NA NA 20969 NA NA NA NA NA 21996 NA NA NA NA NA
1560718800.0 21234.0 0 NA NA NA NA NA 0 NA NA NA NA NA 298 NA NA NA NA NA 719 NA NA NA NA NA
1560718800.0 21234.11 0 NA NA NA NA NA 0 NA NA NA NA NA 290 NA NA NA NA NA 708 NA NA NA NA NA
1560718800.0 22434.0 0 NA NA NA NA NA 0 NA NA NA NA NA 295 NA NA NA NA NA 704 NA NA NA NA NA
1560718800.0 24034.0 0 NA NA NA NA NA 0 NA NA NA NA NA 303 NA NA NA NA NA 707 NA NA NA NA NA
1560718800.0 250199.0 148 NA NA NA NA NA 234 NA NA NA NA NA 7301 NA NA NA NA NA 7927 NA NA NA NA NA
1560718800.0 250199.17 174 NA NA NA NA NA 256 NA NA NA NA NA 9095 NA NA NA NA NA 9404 NA NA NA NA NA
